vcmd,frequency_hz,VNA_mag,VNA_db,VNA_phase_deg,VNB_mag,VNB_db,VNX_mag,VNX_db,input_current_mag,input_impedance_mag
1.5,5000,0.15123083780499308,-16.407192837677233,71.42052427210545,0.15123081622337164,-16.40719407721011,0.9600731422846507,-0.3539135875298356,0.000029781987101788723,33577.34312966442
1.5,10000,0.2649310768314933,-11.537341905794033,56.126076519477294,0.26493106737964306,-11.537342215677384,0.8716810355653717,-1.1928480498611902,0.000052173061374838077,19166.979541711884
1.5,20000,0.3812962449806389,-8.374749433064114,36.68899658560198,0.3812962415797965,-8.374749510534958,0.7088813174151785,-2.9885293867811713,0.00007508893938635947,13317.5406147987
2,20,0.000410289674257919,-67.73818825531134,72.97138325702639,0.00039940034720332263,-67.97183123855913,0.9999994763220355,-0.000004548610196953043,1.2564858582611856e-7,7958704.775108819
2,50,0.0009759248532697079,-60.21167243901768,82.77313066430398,0.0009713781395442769,-60.25223348734652,0.9999967491552664,-0.000028236524483068716,3.1412035720877634e-7,3183493.132650941
2,100,0.0019371008268142587,-54.25695547008411,86.1305022168049,0.0019348128271997388,-54.2672208407678,0.9999870095700447,-0.00011283417382641439,6.282336793884899e-7,1591764.390876624
2,200,0.0038666242900219946,-48.25336050318484,87.59408616654326,0.003865478485935337,-48.255934790724666,0.9999480546325299,-0.0004512034481200065,0.0000012564113582687198,795917.6693355881
2,500,0.009658358113377048,-40.30193391662979,87.72611526359555,0.009657899726258839,-40.302346160031604,0.9996755218955596,-0.0028188383555367317,0.000003140049218670123,318466.34570381703
2,1000,0.019293767928349224,-34.29165899228305,86.52381286549864,0.019293538974616678,-34.29176206591076,0.998704354190802,-0.011261133305160858,0.000006273119325245323,159410.3265301578
2,2000,0.038416497527671324,-28.309644655047983,83.60069114650186,0.038416383554181296,-28.30967042425361,0.9948531564753631,-0.044820355714555,0.000012490867545981582,80058.49043861717
2,5000,0.09321045093767193,-20.61070781942178,74.68477237407555,0.09321040669157342,-20.610711942530465,0.9693072018964984,-0.27077120935602694,0.000030306918386817042,32995.7664199532
2,10000,0.16965613182744244,-15.40860878336609,61.37241621677413,0.16965611169388314,-15.408609814144539,0.8942905309582785,-0.9704273535181516,0.00005516289684249847,18128.127006368206
2,20000,0.2612349401967807,-11.659374731719602,42.51457604052267,0.26123493244641094,-11.659374989414296,0.7247269524977918,-2.79651174056138,0.00008493933386984461,11773.108575731634
2.5,20,0.00030829699418528467,-70.22061419019953,65.35067491512383,0.0002923185884521632,-70.68287134214853,0.9999995552071396,-0.000003863422556725742,1.2564752220356566e-7,7958772.146575779
2.5,50,0.0006984051511003462,-63.11785132287086,79.23421402532506,0.0006914691501438137,-63.204543822913465,0.9999972453793609,-0.000023926363820391607,3.1411786848850016e-7,3183518.3551062774
