scenario,drive_v,cmd_v,sag_v,source_ohm,source_current_ua,iterations,diode,vd_v,raw_vd_v,id_ua,gd_us,rd_kohm,in_stated_range,left_path_v,right_path_v
b11_s7_detector_r31_51k,5,2.6923436287199616,2.3076563711221496,51000,45.24816413964999,54,D2_SSD55,0.4972051089324401,0.4972051089324401,20.332568805506124,259.9766599028727,3.8464991448601578,true,0.9944102128169651,0.9944102128169651
b11_s7_detector_r31_51k,5,2.6923436287199616,2.3076563711221496,51000,45.24816413964999,54,D1_OA154Q,0.497205103884525,0.497205103884525,20.33256751533085,259.9766460458442,3.8464993498826057,true,0.9944102128169651,0.9944102128169651
b11_s7_detector_r31_51k,8,4.035012793122399,3.9649872067236602,51000,77.74484719066,55,D3_SSD55,0.5440486008925547,0.5440486008925547,35.692787890737534,417.08105652763504,2.3976154858851566,true,1.0880971970634177,1.088097197063418
b11_s7_detector_r31_51k,8,4.035012793122399,3.9649872067236602,51000,77.74484719066,55,D4_OA154Q,0.544048596170863,0.544048596170863,35.69278595467044,417.08103752386853,2.3976155951294538,true,1.0880971970634177,1.088097197063418
b11_s7_detector_r31_51k,8,4.035012793122399,3.9649872067236602,51000,77.74484719066,55,D2_SSD55,0.5440486008925551,0.5440486008925551,35.69278789073771,417.0810565276368,2.397615485885146,true,1.0880971970634177,1.088097197063418
b11_s7_detector_r31_51k,8,4.035012793122399,3.9649872067236602,51000,77.74484719066,55,D1_OA154Q,0.5440485961708628,0.5440485961708628,35.69278595467035,417.08103752386756,2.397615595129459,true,1.0880971970634177,1.088097197063418
b11_s7_detector_r31_51k,12,5.802381993877804,6.1976180059887795,51000,121.5219216860545,56,D3_SSD55,0.5854316892925406,0.5854316892925406,56.437956278382075,612.8761813996534,1.6316509441046545,true,1.170863373960361,1.170863373960361
b11_s7_detector_r31_51k,12,5.802381993877804,6.1976180059887795,51000,121.5219216860545,56,D4_OA154Q,0.5854316846678205,0.5854316846678205,56.437953491872626,612.8761559816594,1.6316510117745966,true,1.170863373960361,1.170863373960361
b11_s7_detector_r31_51k,12,5.802381993877804,6.1976180059887795,51000,121.5219216860545,56,D2_SSD55,0.5854316892925406,0.5854316892925406,56.437956278382075,612.8761813996534,1.6316509441046545,true,1.170863373960361,1.170863373960361
b11_s7_detector_r31_51k,12,5.802381993877804,6.1976180059887795,51000,121.5219216860545,56,D1_OA154Q,0.5854316846678205,0.5854316846678205,56.437953491872626,612.8761559816594,1.6316510117745966,true,1.170863373960361,1.170863373960361
b11_s6_s7_high_z_100k,0,0,0,100000,0,1,D3_SSD55,0,0,0,0.000001,1000000000,false,0,0
b11_s6_s7_high_z_100k,0,0,0,100000,0,1,D4_OA154Q,0,0,0,0.000001,1000000000,false,0,0
b11_s6_s7_high_z_100k,0,0,0,100000,0,1,D2_SSD55,0,0,0,0.000001,1000000000,false,0,0
b11_s6_s7_high_z_100k,0,0,0,100000,0,1,D1_OA154Q,0,0,0,0.000001,1000000000,false,0,0
b11_s6_s7_high_z_100k,0.5,0.3952321164110453,0.10476788344522353,100000,1.0476788344522354,51,D3_SSD55,0.1862814320646995,0.1862814320646995,0.04399513552295488,1.5014566006792571,666.0199166246972,false,0.3725627367681751,0.3725627367681751
b11_s6_s7_high_z_100k,0.5,0.3952321164110453,0.10476788344522353,100000,1.0476788344522354,51,D4_OA154Q,0.1862813047034756,0.1862813047034756,0.04399494752568017,1.5014512112954668,666.0223072697714,false,0.3725627367681751,0.3725627367681751
b11_s6_s7_high_z_100k,0.5,0.3952321164110453,0.10476788344522353,100000,1.0476788344522354,51,D2_SSD55,0.18628143206469952,0.18628143206469952,0.04399513552295491,1.501456600679258,666.0199166246967,false,0.3725627367681751,0.3725627367681751
b11_s6_s7_high_z_100k,0.5,0.3952321164110453,0.10476788344522353,100000,1.0476788344522354,51,D1_OA154Q,0.18628130470347556,0.18628130470347556,0.04399494752568012,1.5014512112954652,666.0223072697721,false,0.3725627367681751,0.3725627367681751
