scenario,drive_v,cmd_dc_v,source_ohm,frequency_hz,bjt_stamp_mode,all_diodes_in_range,any_diode_out_of_range,max_residual,VNA_mag,VNA_db,VNA_phase_deg,VNB_mag,VNB_db,VCMD_mag,input_impedance_ohm
rsource_100k,1,0.6842063481561843,100000,100,NONE_GUARDED,false,true,1.21452847778869e-10,0.8639784330401454,-1.269941968212858,3.1880528579518863,0.8639736864150467,-1.2699896878936257,0.7199780720125392,41708.5634780566
rsource_100k,1,0.6842063481561843,100000,1000,NONE_GUARDED,false,true,1.21452847778869e-10,0.8654807377674628,-1.2548518677160763,0.3192061306241093,0.8654806902136831,-1.2548523449616988,0.7212339085114028,41635.177038315946
rsource_100k,1,0.6842063481561843,100000,5000,NONE_GUARDED,false,true,1.21452847778869e-10,0.865495344723708,-1.2547052748068153,0.06384200521595015,0.8654953428215226,-1.2547052938966607,0.7212461190179357,41634.4647750393
rsource_100k,1,0.6842063481561843,100000,15000,NONE_GUARDED,false,true,1.21452847778869e-10,0.8654958857365618,-1.2546998453420577,0.021280677931726336,0.8654958855252076,-1.2546998474631526,0.7212465712710064,41634.438394681114
rsource_100k,3,1.4056029138820714,100000,40,NONE_GUARDED,true,false,1.5788881313483216e-10,0.5648077726417001,-4.961986706824303,20.290678859646814,0.5642566294823689,-4.970466593406418,0.4702138579019741,15899.49412774478
rsource_100k,3,1.4056029138820714,100000,100,NONE_GUARDED,true,false,1.5788881313483216e-10,0.6062464777165057,-4.347015432543422,8.594093043742904,0.6061513902086889,-4.348377888915871,0.5051261585072409,14779.073429771852
rsource_100k,3,1.4056029138820714,100000,1000,NONE_GUARDED,true,false,1.5788881313483216e-10,0.6151830697863105,-4.219912501829427,0.8694437135288482,0.615182104057825,-4.2199261371488,0.5126517533815209,14558.117474456541
rsource_100k,3,1.4056029138820714,100000,5000,NONE_GUARDED,true,false,1.5788881313483216e-10,0.6152717501734214,-4.218660496401279,0.1739085648887074,0.6152717115383886,-4.218661041818231,0.5127264262819905,14555.95842585013
rsource_100k,3,1.4056029138820714,100000,15000,NONE_GUARDED,true,false,1.5788881313483216e-10,0.6152750353974858,-4.218614118491891,0.05796976632607866,0.6152750311046801,-4.218614179093792,0.5127291925872336,14555.878454927217
rsource_100k,8,2.923549226265301,100000,40,NONE_GUARDED,true,false,1.6676970915341371e-10,0.30913642724688034,-10.196996332238486,25.95592210181714,0.3068024030137984,-10.262824862417744,0.2556686691781654,11025.158268952042
rsource_100k,8,2.923549226265301,100000,100,NONE_GUARDED,true,false,1.6676970915341371e-10,0.36067964132154184,-8.857567417632946,12.101861732140007,0.3602322347281797,-8.868348554471767,0.30019352894014983,9312.694912251283
rsource_100k,8,2.923549226265301,100000,1000,NONE_GUARDED,true,false,1.6676970915341371e-10,0.3741158174150913,-8.539878593540712,1.2523117114161861,0.3741111530534508,-8.539986887232443,0.31175929421120907,8953.111431697145
rsource_100k,8,2.923549226265301,100000,5000,NONE_GUARDED,true,false,1.6676970915341371e-10,0.3742543375007568,-8.536663152137596,0.2505481358015183,0.37425415084799474,-8.536667484073218,0.31187845903999567,8949.553785576609
rsource_100k,8,2.923549226265301,100000,15000,NONE_GUARDED,true,false,1.6676970915341371e-10,0.37425947112014063,-8.536544009241636,0.08351710493855871,0.3742594503806224,-8.536544490568591,0.31188287531718534,8949.421993727825
