scenario,vcmd,frequency_hz,command_model,zcmd_ohm,c4_f,c6_f,VNA_mag,VNA_db,VNB_mag,VNB_db,VCMD_NODE_mag,VCMD_NODE_db,input_impedance_mag
cmd_100k_c4c6_1n,0,10000,finite command impedance 100000 Ohm,100000,1e-9,1e-9,0.9301381084933771,-0.6290512374501378,0.9301381084644724,-0.6290512377200577,0.7751150903870605,-2.2126761586725525,98656.66385847739
cmd_100k_c4c6_1n,0,20000,finite command impedance 100000 Ohm,100000,1e-9,1e-9,0.9393515396182127,-0.5434369694779397,0.939351539610915,-0.5434369695454195,0.7827929496757626,-2.127061890497915,97689.01081138205
cmd_100k_c4c6_1n,1,100,finite command impedance 100000 Ohm,100000,1e-9,1e-9,0.01344461638083756,-37.42903170230151,0.013444328285021298,-37.42921782849549,0.011203606904184414,-39.012842749447984,1591950.313580822
cmd_100k_c4c6_1n,1,1000,finite command impedance 100000 Ohm,100000,1e-9,1e-9,0.13256115883725636,-17.551674160207398,0.1325611304253453,-17.551676021859425,0.1104676086877878,-19.13530094281192,161446.1109339535
cmd_100k_c4c6_1n,1,10000,finite command impedance 100000 Ohm,100000,1e-9,1e-9,0.682796383129246,-3.3141757614322715,0.6827963816658015,-3.3141757800488274,0.5689969847215013,-4.897800701001324,31343.849066331877
cmd_100k_c4c6_1n,1,20000,finite command impedance 100000 Ohm,100000,1e-9,1e-9,0.7602671074326179,-2.380675972706681,0.7602671070252458,-2.380675977360821,0.6335559225210383,-3.9643008983133154,28149.931043308276
cmd_100k_c4c6_1n,2,100,finite command impedance 100000 Ohm,100000,1e-9,1e-9,0.002221786033115411,-53.06595535355244,0.002219308800065848,-53.07564529529703,0.0018494240000548735,-54.65927021624953,1591804.4491783513
cmd_100k_c4c6_1n,2,1000,finite command impedance 100000 Ohm,100000,1e-9,1e-9,0.02212561006881448,-33.102094913513966,0.022125362234827535,-33.10219220668278,0.01843780186235628,-34.685817127635275,159439.31309723196
cmd_100k_c4c6_1n,2,10000,finite command impedance 100000 Ohm,100000,1e-9,1e-9,0.19224949712841288,-14.32269575038925,0.19224947559311523,-14.32269672336048,0.16020789632759602,-15.906321644312975,18349.08507881678
cmd_100k_c4c6_1n,2,20000,finite command impedance 100000 Ohm,100000,1e-9,1e-9,0.2912916613621726,-10.713438949824186,0.29129165320473277,-10.713439193067067,0.2427430443372774,-12.29706411401956,12110.204882550122
cmd_100k_c4c6_1n,3,100,finite command impedance 100000 Ohm,100000,1e-9,1e-9,0.001142650060269336,-58.8417350624937,0.0011376706671105455,-58.87966878617212,0.0009480588892587882,-60.46329370712462,1591801.6688080959
cmd_100k_c4c6_1n,3,1000,finite command impedance 100000 Ohm,100000,1e-9,1e-9,0.011308964412787642,-38.93154325145292,0.011308463411144207,-38.93192805603972,0.009423719509286837,-40.51555297699221,159350.4521553245
cmd_100k_c4c6_1n,3,10000,finite command impedance 100000 Ohm,100000,1e-9,1e-9,0.10264623135161238,-19.773139821775107,0.10264618587045864,-19.773143670375923,0.08553848822538221,-21.356768591328418,17554.66251050885
cmd_100k_c4c6_1n,3,20000,finite command impedance 100000 Ohm,100000,1e-9,1e-9,0.1657867677604142,-15.609002710692547,0.16578674939592367,-15.609003672843805,0.1381556244966031,-17.1926285937963,10868.893193547434
