scenario,drive_v,cmd_dc_v,sag_v,source_ohm,source_current_ua,frequency_hz,command_model,all_diodes_in_range,any_diode_out_of_range,left_path_v,right_path_v,VNA_mag,VNA_db,VNB_mag,VNB_db,VCMD_NODE_mag,input_impedance_mag
b11_s6_s7_delivery_linear_r10k,1,0.9322991615803013,0.0677008382759674,10000,6.77008382759674,40,B11/S6/S7 finite small-signal output impedance 10000 Ohm,true,false,0.7047257419784936,0.7047257419784936,0.6586598815760242,-3.626775765351027,0.6585020036123703,-3.6288579856013508,0.21950066787079006,19342.490230997115
b11_s6_s7_delivery_linear_r10k,1,0.9322991615803013,0.0677008382759674,10000,6.77008382759674,100,B11/S6/S7 finite small-signal output impedance 10000 Ohm,true,false,0.7047257419784936,0.7047257419784936,0.6883939455579514,-3.24325915917123,0.6883675100897378,-3.2435927181309463,0.22945583669657926,18497.996611924074
b11_s6_s7_delivery_linear_r10k,1,0.9322991615803013,0.0677008382759674,10000,6.77008382759674,1000,B11/S6/S7 finite small-signal output impedance 10000 Ohm,true,false,0.7047257419784936,0.7047257419784936,0.6944730630011414,-3.1668918975004146,0.6944727962459311,-3.1668952338526593,0.23149093208197702,18334.38424574805
b11_s6_s7_delivery_linear_r10k,1,0.9322991615803013,0.0677008382759674,10000,6.77008382759674,5000,B11/S6/S7 finite small-signal output impedance 10000 Ohm,true,false,0.7047257419784936,0.7047257419784936,0.6945328143001767,-3.166144610252819,0.6945328036290247,-3.1661447437072034,0.23151093454300825,18332.79054335856
b11_s6_s7_delivery_linear_r10k,1,0.9322991615803013,0.0677008382759674,10000,6.77008382759674,15000,B11/S6/S7 finite small-signal output impedance 10000 Ohm,true,false,0.7047257419784936,0.7047257419784936,0.6945350276116523,-3.166116930425193,0.6945350264259648,-3.1661169452534605,0.23151167547532156,18332.731514679657
b11_s6_s7_delivery_linear_r10k,1,0.9322991615803013,0.0677008382759674,10000,6.77008382759674,20000,B11/S6/S7 finite small-signal output impedance 10000 Ohm,true,false,0.7047257419784936,0.7047257419784936,0.694535148652745,-3.166115416679393,0.6945351479857957,-3.1661154250202923,0.2315117159952652,18332.728286543177
b11_s6_s7_delivery_linear_r10k,2,1.7628560899624073,0.23714390991613987,10000,23.71439099161399,40,B11/S6/S7 finite small-signal output impedance 10000 Ohm,true,false,0.8905660921882914,0.8905660921882914,0.43308411500113075,-7.268554907433707,0.432155901829108,-7.28719103176648,0.14405196727636935,12779.16891599241
b11_s6_s7_delivery_linear_r10k,2,1.7628560899624073,0.23714390991613987,10000,23.71439099161399,100,B11/S6/S7 finite small-signal output impedance 10000 Ohm,true,false,0.8905660921882914,0.8905660921882914,0.4838219410400496,-6.306288810571948,0.4836546490005589,-6.309292666627552,0.16121821633351963,11390.797524744565
b11_s6_s7_delivery_linear_r10k,2,1.7628560899624073,0.23714390991613987,10000,23.71439099161399,1000,B11/S6/S7 finite small-signal output impedance 10000 Ohm,true,false,0.8905660921882914,0.8905660921882914,0.4956734739820666,-6.096086435754541,0.49567175739148084,-6.096116516327705,0.1652239191304936,11109.534206797352
b11_s6_s7_delivery_linear_r10k,2,1.7628560899624073,0.23714390991613987,10000,23.71439099161399,5000,B11/S6/S7 finite small-signal output impedance 10000 Ohm,true,false,0.8905660921882914,0.8905660921882914,0.495792892753001,-6.093994063678459,0.49579282407178926,-6.093995266917705,0.16526427469059643,11106.771890990778
